id;role;abbreviation;full_name
1;COM internet solution deposit;Borders deposit;Expressway
2;Avon;Front-line Denmark;Ergonomic
3;engage Eritrea;Jewelery;deposit
4;Beauty;Hat deliverables;pixel
5;e-enable Buckinghamshire;compressing Customer;Kip Frozen
6;Investment Account Granite circuit;Freeway;Azerbaijan
7;Personal Loan Account program morph;Turnpike parse;Pines
8;Frozen;proactive withdrawal calculate;Automotive
9;Divide Industrial;Plastic Pennsylvania;AI Orchestrator
10;Salad;Outdoors Liechtenstein collaborative;Principal
