id;date;description;start_time;end_time;deadline
1;2023-06-22T01:03:42;array AI;2023-06-21T17:49:49;2023-06-21T10:29:26;2023-06-21
2;2023-06-22T02:47:38;navigating Yemeni Rial;2023-06-21T16:56:47;2023-06-21T18:38:48;2023-06-22
3;2023-06-21T06:37:47;JBOD;2023-06-21T15:34:39;2023-06-22T01:57:47;2023-06-21
4;2023-06-21T22:25:17;Garden methodology;2023-06-21T22:36:42;2023-06-22T05:32:00;2023-06-21
5;2023-06-21T06:54:23;Chair web services;2023-06-21T16:04:38;2023-06-21T11:00:34;2023-06-21
6;2023-06-21T20:08:41;Tasty;2023-06-21T06:38:48;2023-06-21T22:25:34;2023-06-21
7;2023-06-22T03:35:33;Refined Concrete Fish Focused feed;2023-06-21T21:55:36;2023-06-21T18:42:16;2023-06-21
8;2023-06-21T17:01:04;override Ergonomic;2023-06-21T10:35:43;2023-06-21T23:24:09;2023-06-21
9;2023-06-22T06:02:20;bandwidth Mews Macedonia;2023-06-22T03:12:52;2023-06-22T03:48:14;2023-06-21
10;2023-06-21T08:58:41;Future;2023-06-21T08:49:50;2023-06-21T08:46:44;2023-06-21
