id;date;start_time;end_time;price;message
1;2023-06-22T00:02:56;2023-06-21T11:54:43;2023-06-21T16:02:48;46402;Australian Dollar
2;2023-06-22T06:18:13;2023-06-21T16:32:33;2023-06-21T11:18:49;5576;Human Massachusetts
3;2023-06-21T11:49:56;2023-06-22T00:22:37;2023-06-21T15:16:00;99079;paradigms payment Associate
4;2023-06-22T02:11:46;2023-06-22T03:39:53;2023-06-21T19:59:21;60043;Usability model
5;2023-06-22T03:04:52;2023-06-22T01:05:13;2023-06-22T04:14:41;33653;teal Personal Loan Account
6;2023-06-21T11:21:30;2023-06-21T20:29:32;2023-06-21T21:27:50;73331;withdrawal
7;2023-06-21T19:27:08;2023-06-21T08:15:51;2023-06-22T03:48:58;91946;transmitter Bosnia and Herzegovina Cambridgeshire
8;2023-06-21T09:27:17;2023-06-21T06:38:47;2023-06-21T16:15:49;8070;firewall Rustic Customer
9;2023-06-21T11:39:26;2023-06-22T03:50:05;2023-06-21T08:03:13;71076;New Jersey
10;2023-06-22T04:45:23;2023-06-21T06:51:07;2023-06-21T15:15:13;94495;real-time
