id;mode;mode_en;mode_cyr
1;Multi-tiered;real-time Total task-force;SDD RAM
2;Re-contextualized Route Keyboard;pixel Car;convergence Grocery Cambridgeshire
3;Sleek Cotton Towels Ergonomic Granite Cheese modular;connecting CSS Awesome Fresh Gloves;applications Congo Creek
4;lime Reverse-engineered;Delaware deposit initiatives;indexing
5;Accounts Chicken cyan;Shirt payment;Exclusive withdrawal
6;Producer New Jersey Tuna;array Circles Towels;Gorgeous benchmark model
7;Checking Account Investment Account fuchsia;orchid Multi-lateral bleeding-edge;Principal
8;synthesizing Sri Lanka Rupee Up-sized;Handmade Fresh Towels bandwidth-monitored mobile;explicit Berkshire Gorgeous Fresh Pizza
9;mobile open-source conglomeration;Incredible Frozen Shirt Alabama visualize;reciprocal hacking
10;RSS Dynamic;Rustic Belarussian Ruble;Web Rue
