id;category;category_en;category_cyr
1;Technician;niches;bypassing navigating
2;Peso Uruguayo Uruguay Peso en Unidades Indexadas;Rustic Granite Shoes orange;bypass
3;Center Mayotte maroon;invoice;United Kingdom Creative Pass
4;protocol CSS;West Virginia connecting;Senior
5;Checking Account indigo payment;Buckinghamshire Plains;Movies index
6;Bedfordshire;generate;Universal Agent Towels
7;Mouse port;Tanzania Tuna azure;Computers Unbranded
8;Assurance;bus Metical;Unbranded Soft
9;connect Home Movies;Mission Gorgeous back up;connect Operations
10;support Turkey;alarm;niches Nevada XSS
