id;subcategory;subcategory_en;sub_category_cyr
1;lime encoding;purple system;envisioneer Frozen
2;Associate Delaware;Berkshire;copy dynamic EXE
3;turn-key array;Auto Loan Account granular;Isle
4;Street Credit Card Account;Handcrafted Granite Chicken Incredible Steel Shirt solid state;Personal Loan Account
5;Colombia;Bedfordshire Nicaragua;National Soft open-source
6;success;alarm;FTP
7;approach withdrawal;navigating Washington;upward-trending
8;New Jersey artificial intelligence SQL;index Ergonomic Granite Bike leverage;purple applications
9;Music Indiana tan;Iowa;Knolls compress Saint Vincent and the Grenadines
10;efficient Licensed Metal Shoes approach;index;SAS pixel
