id;domain;domain_en;domain_cyr
1;Global;success Steel;support HDD
2;matrix Technician;Maryland Rapid;Computers
3;mindshare;invoice withdrawal;Salad
4;Tasty;Shirt synergies multi-byte;Guyana Dollar
5;Sierra Leone;Algeria;holistic Public-key
6;gold Iceland Krona deliverables;Virginia PCI;Savings Account Automotive fuchsia
7;monitoring transmit Investment Account;Configuration Factors compressing;copying action-items
8;Lilangeni Future;Handmade;Virginia
9;moratorium;Configuration;back-end bus Russian Federation
10;Implementation;Berkshire Gorgeous Wooden Pizza;Home Loan Account Universal Antigua and Barbuda
