id;status;meaning;status_en;status_cyr;meaning_en;meaning_cyr
1;generating value-added Towels;Refined Metal Bike Bedfordshire South Carolina;system function Flats;Bacon microchip Implementation;microchip;Course
2;Consultant Mandatory;Missouri;transmit Small;online;Indiana;impactful Pants black
3;South Carolina;Holy See (Vatican City State) teal;Principal;mobile;Analyst Checking Account;Practical
4;parsing solutions;support killer invoice;bypass virtual invoice;Generic;SMTP Associate;Bedfordshire Brand green
5;synergies;monitor;holistic optical multi-byte;Expanded Summit;workforce Senior Industrial;Views Practical Soft Chair Fish
6;digital transmit;firewall Engineer;Analyst system-worthy;Fresh;Summit National Costa Rican Colon;Expanded
7;Concrete Oregon;Facilitator Personal Loan Account;Automotive Kuwait project;Cambridgeshire;array;convergence
8;Granite Ball Buckinghamshire;Dynamic withdrawal Tasty Cotton Towels;Markets Generic Steel Chair Shirt;envisioneer Guinea-Bissau software;Integrated;Tools Junctions
9;Officer Music deposit;Oregon cultivate UAE Dirham;protocol Investor;payment teal Sports;Licensed Frozen Chips enable;Regional
10;Networked navigating Rustic Wooden Chips;frictionless Burg;Indiana;radical Generic Frozen Soap SAS;Station;Integration Coves Future
