id;subdomain;subdomain_en;subdomain_cyr
1;USB syndicate copying;Orchestrator;RAM Lodge
2;Plastic Table;Trace Intranet;Virginia EXE Afghanistan
3;Designer Handmade Fresh Soap Wooden;Credit Card Account;connecting CSS
4;Gorgeous Concrete Chicken XSS;Intelligent compressing system;quantify
5;Markets interface;override interactive;Rubber productize Customer
6;teal Ville;Square;Practical Self-enabling XSS
7;back up Object-based;B2B mobile Rand Loti;Handcrafted Concrete Gloves
8;6th generation vortals Buckinghamshire;Senegal approach service-desk;program
9;Points Human Maryland;SCSI;Keyboard Massachusetts Shoes
10;Liaison microchip sensor;e-commerce analyzing Movies;Ameliorated
