id;type;type_en;type_cyr
1;schemas Branding;online enable;Cheese ivory matrix
2;Baby Handcrafted;pink Borders Rubber;Plastic
3;solid state Generic Rubber Gloves;Sleek Wooden Shirt;Computer
4;Savings Account complexity Borders;quantify Shirt utilisation;Gloves Metrics
5;mission-critical;quantifying;Rwanda Franc sensor payment
6;ivory;Forest navigate Licensed;Unbranded Dynamic
7;PNG Niger Mississippi;Executive Station Creative;Uzbekistan Sum backing up
8;programming;solid state Incredible Wooden Chips;Fantastic Cotton Computer synergistic
9;Rubber;Connecticut Generic Concrete Chips;clicks-and-mortar Gorgeous Granite Car
10;maroon;Aruban Guilder white haptic;Computers
