id;availability;meaning;availability_en;availability_cyr;meaning_en;meaning_cyr
1;USB;Democratic People's Republic of Korea Intelligent;synthesizing;optimal microchip PCI;copying website Steel;deliverables Fantastic architectures
2;back-end;redundant Beauty;synergy;Manor Dynamic;Cape Verde Escudo;compress
3;Tala Toys Devolved;Bacon;yellow Argentina;Wall Common Montserrat;24/7;Sleek Refined Concrete Car
4;mint green Steel;copying;Investor;Ergonomic Wooden Hat;Steel;Fantastic Wooden Keyboard
5;Dynamic Home Loan Account;Cameroon Auto Loan Account Virginia;applications Fantastic Granite Pants enable;back up Mills;firmware Roads;neural
6;maximize;Unbranded Village Yen;Salad deposit Credit Card Account;connect revolutionary Producer;vortals multi-state back-end;Bedfordshire
7;Hollow;ivory fuchsia;Washington Grocery;Security;eyeballs Frozen Licensed;moderator Implementation
8;payment;Health RAM;Security;Bacon Customizable solution-oriented;compress;Falls deposit
9;systematic;payment Avenue;front-end Diverse;throughput;Intranet;Music payment
10;Arizona;Gorgeous navigate withdrawal;California compress;facilitate Borders Kuwaiti Dinar;Fresh;Maryland
