id;subtype;subtype_en;subtype_cyr
1;disintermediate mindshare expedite;extend;Wooden
2;Dominican Peso;modular Facilitator;generating Jewelery
3;online Generic Plastic Salad syndicate;Zloty teal;Frozen
4;focus group Intelligent Frozen Chair Concrete;Outdoors;green
5;feed human-resource Cambridgeshire;transmitter;deposit neural back-end
6;Distributed interface;Guatemala whiteboard Soft;mesh deposit
7;connecting;Home Loan Account leverage mesh;Ergonomic Soft Fish
8;Dynamic sticky mobile;Cambridgeshire;Movies back-end
9;Personal Loan Account Jamaica RAM;intuitive Sweden;harness Auto Loan Account
10;Checking Account;Digitized;Savings Account deposit
