id;type;type_en;type_cyr
1;Soft;ROI Infrastructure Global;Engineer utilize engineer
2;synthesize;grid-enabled orchestrate;invoice redundant
3;e-markets connecting;Functionality Avon;Chicken black
4;Wyoming microchip;France;Armenian Dram circuit access
5;Rubber Fresh;Delaware;Generic Fresh Keyboard
6;United States of America methodologies users;Uzbekistan Sum Maryland;Refined Concrete Towels Egyptian Pound
7;expedite Checking Account;Identity Gorgeous Fresh Fish Credit Card Account;transmit withdrawal
8;capability Handmade Frozen Keyboard Credit Card Account;Kyat;Total Investment Account
9;directional;Clothing;Court local area network Tasty
10;Awesome Steel Fish Agent FTP;Global Quality-focused fuchsia;South Carolina Robust
